primary_trips,work_trip,study_trip,shopping_trips,recreational_activity,social_activity,e_learning,teleshopping,teleworking,distance_traveled,mode_of_transport,mode_transport,reason_of_mode,change_mode,transport_mode,fac_inf_mode,fac_res_movement,private_car,trotro,uber_bolt,bicycle,motrobike,walking,gender,age,edu,edu_level,employ_status,income,marital_status,household_car_own,motor_bicycle_own
study,never,5 or more trips/week,2 trips/week,3 trips/week,4 trip/week,never,never,3/week,20.01 - 30km,taxi,Paratransit,availability,Yes,uber/bolt,safety ans security,wearing of nose mask,extremely unlikely,neutral,neutral,neutral,neutral,extremely likely,Female,18 - 24 years,High school certififcate,high school certififcate,Student,101 - 500 cedis,Single,No,No
work,5 or more trips/week,1 trip/week,3 trips/week,4 trip/week,1 trip/week,1/week,5/more/week,5/more/week,5.01 - 10km,taxi,Paratransit,travel cost time,No,taxi,cost,perception of infection,extremely unlikely,extremely likely,unlikely,extremely unlikely,extremely unlikely,likely,Female,25 - 30 years,Bachelors degree,first degree,Formally Employed,1001 - 1500 cedis,Married,No,No
study,never,5 or more trips/week,never,2 trips/week,never,5/more/week,never,never,15.01 - 20km,trotro,Paratransit,cost,No,uber/bolt,availability,never reduce my movement,neutral,extremely likely,likely,likely,neutral,neutral,Male,18 - 24 years,Bachelors degree,first degree,Student,less 100 cedis,Single,No,No
work,5 or more trips/week,5 or more trips/week,3 trips/week,2 trips/week,1 trip/week,never,never,never,5.01 - 10km,trotro,Paratransit,safety ans security,Yes,trotro,safety ans security,perception of infection,extremely unlikely,extremely likely,neutral,extremely unlikely,extremely unlikely,extremely unlikely,Male,31 - 40 years,HND/diploma,HND/diploma,Formally Employed,1001 - 1500 cedis,Single,No,No
work,5 or more trips/week,5 or more trips/week,1 trip/week,3 trips/week,5 or more trips/week,4/week,2/week,3/week,10.01 - 15km,taxi,Paratransit,availability,No,taxi,cost,perception of infection,extremely unlikely,extremely likely,extremely unlikely,extremely unlikely,extremely unlikely,unlikely,Female,18 - 24 years,HND/diploma,HND/diploma,Formally Employed,101 - 500 cedis,Cohabitation,No,No
work,5 or more trips/week,never,2 trips/week,3 trips/week,2 trips/week,never,never,never,20.01 - 30km,trotro,Paratransit,availability,Yes,uber/bolt,cost,frequent washing of hands,extremely unlikely,extremely likely,unlikely,neutral,unlikely,likely,Female,18 - 24 years,Bachelors degree,first degree,Student,101 - 500 cedis,Single,No,No
work,never,5 or more trips/week,2 trips/week,1 trip/week,1 trip/week,1/week,never,3/week,20.01 - 30km,trotro,Paratransit,comfort,Yes,uber/bolt,infection concern,social distance,extremely unlikely,extremely likely,unlikely,extremely unlikely,unlikely,likely,Female,18 - 24 years,HND/diploma,HND/diploma,Formally Employed,501 - 1000 cedis,Single,No,Yes
work,5 or more trips/week,never,2 trips/week,5 or more trips/week,5 or more trips/week,never,never,never,15.01 - 20km,private car,Private_transport,safety ans security,No,private car,travel cost time,wearing of nose mask,extremely unlikely,likely,neutral,extremely unlikely,extremely unlikely,unlikely,Male,25 - 30 years,High school certififcate,high school certififcate,Formally Employed,101 - 500 cedis,Single,No,Yes
work,5 or more trips/week,never,1 trip/week,5 or more trips/week,5 or more trips/week,1/week,3/week,1/week,20.01 - 30km,private car,Private_transport,availability,Yes,private car,safety ans security,wearing of nose mask,extremely unlikely,likely,neutral,unlikely,extremely likely,extremely unlikely,Male,31 - 40 years,No formal Education,no certificate and can not read,Formally Employed,1001 - 1500 cedis,Single,No,No
study,never,5 or more trips/week,2 trips/week,never,1 trip/week,5/more/week,never,2/week,0 - 5km,taxi,Paratransit,travel cost time,Yes,uber/bolt,cleaniness,perception of infection,extremely unlikely,likely,extremely unlikely,unlikely,unlikely,neutral,Female,18 - 24 years,High school certififcate,high school certififcate,Student,101 - 500 cedis,Single,No,No
others,never,never,2 trips/week,2 trips/week,never,never,never,never,5.01 - 10km,trotro,Paratransit,infection concern,No,walking,comfort,never reduce my movement,extremely unlikely,likely,neutral,neutral,neutral,unlikely,Female,31 - 40 years,No formal Education,no certificate and can not read,Unemployed,less 100 cedis,Cohabitation,No,No
work,5 or more trips/week,never,3 trips/week,1 trip/week,never,never,never,never,0 - 5km,trotro,Paratransit,comfort,Yes,taxi,comfort,perception of infection,extremely unlikely,neutral,unlikely,neutral,extremely unlikely,likely,Female,31 - 40 years,No formal Education,no certificate and can not read,Self Employed,501 - 1000 cedis,Single,No,No
work,5 or more trips/week,never,3 trips/week,4 trip/week,never,never,never,never,5.01 - 10km,private car,Private_transport,safety ans security,Yes,private car,comfort,frequent washing of hands,neutral,likely,extremely unlikely,unlikely,neutral,unlikely,Female,41 - 50 years,Junior High certififcate,junior high certificate,Self Employed,501 - 1000 cedis,Single,No,No
work,3 trips/week,never,never,2 trips/week,never,never,never,never,0 - 5km,trotro,Paratransit,safety ans security,Yes,uber/bolt,comfort,wearing of nose mask,unlikely,likely,extremely unlikely,neutral,neutral,extremely unlikely,Female,18 - 24 years,Junior High certififcate,junior high certificate,Unemployed,less 100 cedis,separated,No,No
work,5 or more trips/week,never,2 trips/week,never,never,never,never,never,0 - 5km,trotro,Paratransit,travel cost time,Yes,taxi,social distance,wearing of nose mask,unlikely,extremely likely,neutral,extremely unlikely,neutral,extremely unlikely,Female,41 - 50 years,Junior High certififcate,junior high certificate,Self Employed,501 - 1000 cedis,Single,No,No
shopping,5 or more trips/week,never,2 trips/week,5 or more trips/week,never,never,never,never,0 - 5km,trotro,Paratransit,safety ans security,Yes,taxi,social distance,social distance,extremely unlikely,extremely likely,extremely unlikely,neutral,unlikely,unlikely,Female,31 - 40 years,Junior High certififcate,junior high certificate,Self Employed,501 - 1000 cedis,Married,No,No
work,5 or more trips/week,never,never,never,1 trip/week,2/week,never,1/week,5.01 - 10km,taxi,Paratransit,safety ans security,Yes,uber/bolt,safety ans security,wearing of nose mask,extremely unlikely,extremely likely,neutral,unlikely,neutral,unlikely,Male,25 - 30 years,HND/diploma,HND/diploma,Formally Employed,101 - 500 cedis,Single,No,No
work,5 or more trips/week,never,1 trip/week,1 trip/week,1 trip/week,never,never,1/week,10.01 - 15km,trotro,Paratransit,availability,Yes,taxi,infection concern,perception of infection,unlikely,likely,likely,unlikely,likely,extremely unlikely,Male,31 - 40 years,High school certififcate,high school certififcate,Self Employed,501 - 1000 cedis,Married,No,No
study,1 trip/week,never,2 trips/week,never,never,never,never,1/week,10.01 - 15km,taxi,Paratransit,safety ans security,Yes,uber/bolt,infection concern,wearing of nose mask,unlikely,extremely likely,extremely unlikely,extremely unlikely,unlikely,extremely unlikely,Female,31 - 40 years,High school certififcate,high school certififcate,Formally Employed,1001 - 1500 cedis,Married,No,No
study,never,5 or more trips/week,2 trips/week,never,never,2/week,never,never,10.01 - 15km,private car,Private_transport,comfort,Yes,taxi,infection concern,perception of infection,unlikely,likely,unlikely,extremely unlikely,unlikely,extremely unlikely,Male,18 - 24 years,High school certififcate,high school certififcate,Student,less 100 cedis,Single,No,No
work,4 trip/week,1 trip/week,2 trips/week,never,never,never,never,never,10.01 - 15km,trotro,Paratransit,cost,No,uber/bolt,cleaniness,frequent washing of hands,unlikely,likely,unlikely,unlikely,unlikely,unlikely,Female,25 - 30 years,HND/diploma,HND/diploma,Formally Employed,1001 - 1500 cedis,Married,Yes,Yes
study,never,5 or more trips/week,1 trip/week,never,1 trip/week,2/week,never,never,10.01 - 15km,private car,Private_transport,comfort,No,uber/bolt,infection concern,social distance,likely,likely,unlikely,unlikely,unlikely,unlikely,Female,25 - 30 years,High school certififcate,high school certififcate,Self Employed,101 - 500 cedis,Married,No,No
work,3 trips/week,never,never,never,never,never,never,never,5.01 - 10km,trotro,Paratransit,cost,Yes,taxi,social distance,social distance,unlikely,extremely likely,extremely unlikely,unlikely,unlikely,unlikely,Male,31 - 40 years,No formal Education,no certificate and can not read,Self Employed,101 - 500 cedis,Married,No,No
study,never,4 trip/week,never,never,2 trips/week,1/week,never,never,10.01 - 15km,#NULL!,Paratransit,comfort,No,private car,safety ans security,social distance,unlikely,extremely likely,likely,neutral,neutral,neutral,Female,18 - 24 years,Bachelors degree,first degree,Student,less 100 cedis,Single,No,No
work,5 or more trips/week,never,1 trip/week,2 trips/week,never,never,never,never,0 - 5km,trotro,Paratransit,comfort,Yes,private car,cleaniness,perception of infection,extremely unlikely,extremely unlikely,extremely likely,unlikely,unlikely,unlikely,Male,18 - 24 years,High school certififcate,high school certififcate,Self Employed,501 - 1000 cedis,Single,No,No
shopping,5 or more trips/week,never,2 trips/week,never,1 trip/week,never,never,never,15.01 - 20km,trotro,Paratransit,travel cost time,Yes,taxi,infection concern,perception of infection,extremely unlikely,unlikely,neutral,neutral,unlikely,extremely unlikely,Female,31 - 40 years,High school certififcate,high school certififcate,Self Employed,1501 - 2500 cedis,Single,No,No
work,5 or more trips/week,1 trip/week,1 trip/week,2 trips/week,never,never,never,never,10.01 - 15km,trotro,Paratransit,cost,No,uber/bolt,availability,never reduce my movement,extremely unlikely,extremely likely,extremely unlikely,neutral,neutral,neutral,Female,25 - 30 years,Bachelors degree,first degree,Self Employed,1501 - 2500 cedis,Married,No,No
work,5 or more trips/week,2 trips/week,3 trips/week,1 trip/week,5 or more trips/week,never,never,never,10.01 - 15km,trotro,Paratransit,infection concern,Yes,trotro,infection concern,social distance,unlikely,likely,unlikely,extremely unlikely,extremely likely,extremely unlikely,Male,25 - 30 years,High school certififcate,high school certififcate,Formally Employed,1001 - 1500 cedis,Single,No,No
work,5 or more trips/week,never,never,never,never,never,never,never,15.01 - 20km,private car,Private_transport,safety ans security,No,uber/bolt,safety ans security,never reduce my movement,extremely unlikely,neutral,neutral,unlikely,extremely unlikely,extremely unlikely,Female,31 - 40 years,HND/diploma,HND/diploma,Self Employed,2501 - 3500 cedis,Single,Yes,No
study,5 or more trips/week,1 trip/week,1 trip/week,never,2 trips/week,1/week,never,never,5.01 - 10km,taxi,Paratransit,availability,No,trotro,infection concern,never reduce my movement,unlikely,extremely likely,likely,neutral,neutral,neutral,Male,25 - 30 years,Bachelors degree,first degree,Self Employed,1001 - 1500 cedis,Single,No,Yes
shopping,5 or more trips/week,never,5 or more trips/week,never,never,never,never,never,0 - 5km,trotro,Paratransit,cost,Yes,taxi,infection concern,wearing of nose mask,likely,extremely likely,extremely likely,extremely likely,extremely likely,extremely likely,Female,25 - 30 years,No formal Education,no certificate and can not read,Self Employed,less 100 cedis,Divorced,No,No
work,never,never,never,never,never,1/week,never,never,0 - 5km,taxi,Paratransit,safety ans security,Yes,taxi,safety ans security,wearing of nose mask,extremely unlikely,extremely unlikely,extremely unlikely,extremely unlikely,extremely unlikely,extremely unlikely,Female,18 - 24 years,High school certififcate,high school certififcate,Self Employed,less 100 cedis,Married,Yes,Yes
work,5 or more trips/week,never,never,never,2 trips/week,never,never,never,0 - 5km,trotro,Paratransit,cost,Yes,taxi,cost,perception of infection,unlikely,extremely likely,unlikely,extremely unlikely,unlikely,likely,Female,25 - 30 years,High school certififcate,high school certififcate,Unemployed,less 100 cedis,Married,No,Yes
work,5 or more trips/week,never,never,never,never,never,never,never,0 - 5km,trotro,Paratransit,travel cost time,Yes,private car,cost,wearing of nose mask,extremely unlikely,likely,extremely unlikely,extremely unlikely,extremely unlikely,unlikely,Male,18 - 24 years,High school certififcate,high school certififcate,Self Employed,less 100 cedis,Single,Yes,No
work,5 or more trips/week,never,never,never,1 trip/week,never,never,never,0 - 5km,trotro,Paratransit,cost,No,taxi,travel cost time,social distance,unlikely,extremely likely,unlikely,extremely unlikely,extremely unlikely,extremely unlikely,Female,25 - 30 years,High school certififcate,high school certififcate,Self Employed,less 100 cedis,Single,Yes,Yes
study,never,5 or more trips/week,never,never,never,3/week,never,never,5.01 - 10km,private car,Private_transport,safety ans security,Yes,uber/bolt,infection concern,perception of infection,likely,unlikely,unlikely,extremely unlikely,neutral,unlikely,Female,51 - 60 years,High school certififcate,high school certififcate,Self Employed,501 - 1000 cedis,Single,Yes,No
study,never,5 or more trips/week,never,never,never,never,never,never,5.01 - 10km,private car,Private_transport,cleaniness,Yes,private car,travel cost time,perception of infection,likely,extremely likely,extremely unlikely,unlikely,unlikely,unlikely,Male,25 - 30 years,Bachelors degree,first degree,Self Employed,less 100 cedis,Single,Yes,No
work,5 or more trips/week,never,never,never,never,never,never,never,5.01 - 10km,private car,Private_transport,travel cost time,No,private car,travel cost time,perception of infection,extremely likely,likely,likely,extremely unlikely,extremely unlikely,extremely likely,Male,25 - 30 years,No formal Education,no certificate and can not read,Self Employed,101 - 500 cedis,Single,Yes,No
study,5 or more trips/week,never,never,never,never,5/more/week,never,never,5.01 - 10km,private car,Private_transport,safety ans security,No,private car,infection concern,perception of infection,extremely unlikely,unlikely,extremely unlikely,neutral,likely,extremely likely,Male,25 - 30 years,High school certififcate,high school certififcate,Self Employed,501 - 1000 cedis,Single,No,Yes
study,never,5 or more trips/week,never,never,never,never,never,never,5.01 - 10km,bicycle,Private_transport,safety ans security,Yes,taxi,travel cost time,perception of infection,likely,extremely likely,extremely unlikely,unlikely,unlikely,extremely likely,Male,25 - 30 years,High school certififcate,high school certififcate,Self Employed,less 100 cedis,Single,Yes,No
study,never,5 or more trips/week,never,never,never,never,never,never,5.01 - 10km,walking,Non_motorized_transport,cost,No,walking,travel cost time,perception of infection,extremely unlikely,extremely likely,unlikely,unlikely,unlikely,unlikely,Male,31 - 40 years,No formal Education,no certificate and can not read,Self Employed,less 100 cedis,Married,Yes,Yes
shopping,5 or more trips/week,never,5 or more trips/week,1 trip/week,1 trip/week,never,never,2/week,5.01 - 10km,trotro,Paratransit,availability,Yes,taxi,infection concern,perception of infection,extremely unlikely,likely,extremely unlikely,extremely unlikely,unlikely,extremely unlikely,Male,41 - 50 years,Junior High certififcate,junior high certificate,Self Employed,1001 - 1500 cedis,Married,No,No
work,5 or more trips/week,never,never,1 trip/week,1 trip/week,never,never,never,0 - 5km,trotro,Paratransit,cleaniness,Yes,uber/bolt,infection concern,perception of infection,unlikely,extremely likely,unlikely,extremely unlikely,unlikely,unlikely,Female,31 - 40 years,No formal Education,no certificate and can not read,Self Employed,501 - 1000 cedis,Married,Yes,No
work,4 trip/week,never,never,never,never,never,never,never,5.01 - 10km,uber/bolt,Ride_hailing,safety ans security,Yes,uber/bolt,infection concern,perception of infection,extremely unlikely,extremely unlikely,extremely unlikely,unlikely,unlikely,extremely unlikely,Female,25 - 30 years,High school certififcate,high school certififcate,Self Employed,501 - 1000 cedis,Single,No,No
work,5 or more trips/week,never,never,never,never,never,never,never,5.01 - 10km,walking,Non_motorized_transport,cost,No,taxi,cost,perception of infection,likely,extremely likely,unlikely,extremely unlikely,extremely unlikely,extremely unlikely,Male,25 - 30 years,Junior High certififcate,junior high certificate,Self Employed,101 - 500 cedis,Single,No,No
shopping,never,never,5 or more trips/week,never,never,never,never,never,0 - 5km,trotro,Paratransit,safety ans security,Yes,taxi,travel cost time,perception of infection,likely,extremely likely,unlikely,unlikely,unlikely,unlikely,Male,25 - 30 years,Bachelors degree,first degree,Self Employed,less 100 cedis,Single,Yes,No
study,never,5 or more trips/week,never,never,never,5/more/week,never,never,5.01 - 10km,private car,Private_transport,safety ans security,Yes,private car,travel cost time,perception of infection,extremely unlikely,extremely unlikely,unlikely,likely,unlikely,likely,Female,41 - 50 years,Postgraduate,postgraduate,Self Employed,1001 - 1500 cedis,Married,Yes,Yes
work,3 trips/week,never,never,never,never,never,never,never,0 - 5km,bicycle,Private_transport,travel cost time,Yes,bicycle,travel cost time,perception of infection,likely,extremely likely,extremely unlikely,unlikely,unlikely,unlikely,Male,31 - 40 years,Junior High certififcate,junior high certificate,Self Employed,501 - 1000 cedis,Single,Yes,Yes
work,4 trip/week,never,never,never,never,never,never,never,5.01 - 10km,taxi,Paratransit,safety ans security,Yes,taxi,infection concern,perception of infection,extremely unlikely,extremely likely,extremely unlikely,extremely unlikely,extremely unlikely,unlikely,Male,25 - 30 years,High school certififcate,high school certififcate,Self Employed,501 - 1000 cedis,Single,Yes,Yes
study,never,3 trips/week,never,never,never,3/week,never,never,0 - 5km,walking,Non_motorized_transport,safety ans security,Yes,private car,comfort,perception of infection,extremely unlikely,likely,unlikely,likely,unlikely,extremely unlikely,Female,25 - 30 years,High school certififcate,high school certififcate,Self Employed,less 100 cedis,Single,Yes,No
study,never,5 or more trips/week,never,never,never,5/more/week,never,never,5.01 - 10km,private car,Private_transport,safety ans security,Yes,private car,travel cost time,perception of infection,likely,unlikely,neutral,unlikely,extremely likely,likely,Female,25 - 30 years,No formal Education,no certificate and can not read,Self Employed,101 - 500 cedis,Single,Yes,Yes
work,5 or more trips/week,never,never,never,never,never,never,never,5.01 - 10km,trotro,Paratransit,safety ans security,Yes,uber/bolt,infection concern,perception of infection,extremely likely,neutral,unlikely,extremely likely,neutral,unlikely,Female,25 - 30 years,No formal Education,no certificate and can not read,Self Employed,501 - 1000 cedis,Single,No,No
work,5 or more trips/week,never,never,never,never,never,5/more/week,never,0 - 5km,taxi,Paratransit,travel cost time,Yes,uber/bolt,infection concern,perception of infection,extremely unlikely,extremely unlikely,extremely unlikely,unlikely,unlikely,extremely unlikely,Female,41 - 50 years,HND/diploma,HND/diploma,Self Employed,501 - 1000 cedis,Single,Yes,No
work,5 or more trips/week,1 trip/week,never,never,never,never,3/week,never,0 - 5km,walking,Non_motorized_transport,safety ans security,No,taxi,cleaniness,perception of infection,neutral,likely,extremely unlikely,unlikely,unlikely,neutral,Female,18 - 24 years,Junior High certififcate,junior high certificate,Unemployed,less 100 cedis,Single,No,No
study,5 or more trips/week,5 or more trips/week,never,2 trips/week,5 or more trips/week,3/week,5/more/week,never,20.01 - 30km,trotro,Paratransit,comfort,Yes,trotro,infection concern,wearing of nose mask,neutral,extremely likely,likely,unlikely,unlikely,likely,Female,18 - 24 years,High school certififcate,high school certififcate,Formally Employed,101 - 500 cedis,Single,No,Yes
work,never,2 trips/week,1 trip/week,never,4 trip/week,never,never,never,15.01 - 20km,trotro,Paratransit,travel cost time,No,taxi,safety ans security,perception of infection,unlikely,likely,extremely unlikely,unlikely,extremely likely,unlikely,Female,18 - 24 years,Junior High certififcate,junior high certificate,Student,101 - 500 cedis,Single,No,No
shopping,5 or more trips/week,never,3 trips/week,2 trips/week,4 trip/week,never,4/week,4/week,10.01 - 15km,uber/bolt,Ride_hailing,availability,No,uber/bolt,social distance,never reduce my movement,extremely unlikely,extremely unlikely,extremely likely,extremely unlikely,extremely unlikely,extremely unlikely,Female,18 - 24 years,High school certififcate,high school certififcate,Formally Employed,501 - 1000 cedis,Single,No,No
study,never,5 or more trips/week,never,3 trips/week,never,5/more/week,5/more/week,2/week,15.01 - 20km,uber/bolt,Ride_hailing,safety ans security,Yes,uber/bolt,safety ans security,perception of infection,extremely unlikely,extremely likely,extremely unlikely,extremely unlikely,extremely unlikely,extremely unlikely,Female,18 - 24 years,High school certififcate,high school certififcate,Student,less 100 cedis,Single,Yes,No
others,5 or more trips/week,3 trips/week,1 trip/week,never,3 trips/week,never,5/more/week,2/week,15.01 - 20km,private car,Private_transport,comfort,Yes,uber/bolt,infection concern,social distance,neutral,likely,neutral,unlikely,unlikely,likely,Male,25 - 30 years,HND/diploma,HND/diploma,Self Employed,501 - 1000 cedis,Single,No,Yes
work,5 or more trips/week,5 or more trips/week,never,never,5 or more trips/week,2/week,5/more/week,never,5.01 - 10km,trotro,Paratransit,cost,No,trotro,infection concern,social distance,neutral,extremely likely,unlikely,likely,likely,unlikely,Male,under 18,Junior High certififcate,junior high certificate,Formally Employed,less 100 cedis,Single,No,No
study,2 trips/week,5 or more trips/week,1 trip/week,3 trips/week,5 or more trips/week,2/week,3/week,2/week,5.01 - 10km,trotro,Paratransit,availability,Yes,uber/bolt,infection concern,social distance,extremely unlikely,extremely likely,extremely unlikely,unlikely,neutral,likely,Female,18 - 24 years,High school certififcate,high school certififcate,Student,less 100 cedis,Single,No,No
work,5 or more trips/week,2 trips/week,never,1 trip/week,5 or more trips/week,never,2/week,never,5.01 - 10km,trotro,Paratransit,cost,Yes,uber/bolt,safety ans security,social distance,unlikely,extremely likely,unlikely,neutral,neutral,extremely unlikely,Female,25 - 30 years,HND/diploma,HND/diploma,Formally Employed,501 - 1000 cedis,Married,No,No
others,1 trip/week,4 trip/week,1 trip/week,5 or more trips/week,1 trip/week,1/week,2/week,5/more/week,5.01 - 10km,walking,Non_motorized_transport,cost,Yes,uber/bolt,infection concern,social distance,unlikely,extremely likely,likely,neutral,neutral,likely,Female,18 - 24 years,Junior High certififcate,junior high certificate,Unemployed,less 100 cedis,Single,No,No
work,5 or more trips/week,3 trips/week,1 trip/week,3 trips/week,4 trip/week,never,2/week,1/week,10.01 - 15km,uber/bolt,Ride_hailing,safety ans security,No,private car,infection concern,perception of infection,extremely unlikely,extremely likely,unlikely,neutral,neutral,unlikely,Female,51 - 60 years,Bachelors degree,first degree,Self Employed,2501 - 3500 cedis,Married,Yes,No
work,5 or more trips/week,1 trip/week,2 trips/week,3 trips/week,2 trips/week,never,2/week,never,10.01 - 15km,private car,Private_transport,comfort,Yes,private car,infection concern,social distance,extremely unlikely,extremely likely,extremely unlikely,unlikely,neutral,likely,Male,41 - 50 years,Bachelors degree,first degree,Self Employed,1001 - 1500 cedis,Married,Yes,No
work,5 or more trips/week,1 trip/week,2 trips/week,1 trip/week,1 trip/week,never,2/week,1/week,15.01 - 20km,trotro,Paratransit,safety ans security,Yes,uber/bolt,infection concern,social distance,unlikely,neutral,neutral,neutral,neutral,likely,Male,25 - 30 years,HND/diploma,HND/diploma,Self Employed,1501 - 2500 cedis,Married,No,No
study,never,5 or more trips/week,2 trips/week,3 trips/week,5 or more trips/week,3/week,3/week,2/week,5.01 - 10km,uber/bolt,Ride_hailing,comfort,Yes,uber/bolt,infection concern,perception of infection,unlikely,extremely likely,neutral,unlikely,unlikely,unlikely,Male,25 - 30 years,HND/diploma,HND/diploma,Student,less 100 cedis,Single,No,No
work,5 or more trips/week,5 or more trips/week,4 trip/week,1 trip/week,1 trip/week,5/more/week,3/week,never,20.01 - 30km,trotro,Paratransit,comfort,Yes,trotro,infection concern,perception of infection,extremely unlikely,likely,extremely unlikely,unlikely,unlikely,likely,Male,31 - 40 years,HND/diploma,HND/diploma,Formally Employed,101 - 500 cedis,Married,No,No
study,3 trips/week,2 trips/week,3 trips/week,1 trip/week,2 trips/week,2/week,1/week,3/week,0 - 5km,uber/bolt,Ride_hailing,comfort,Yes,uber/bolt,safety ans security,wearing of nose mask,unlikely,likely,unlikely,unlikely,neutral,neutral,Female,18 - 24 years,High school certififcate,high school certififcate,Student,101 - 500 cedis,Single,No,No
work,5 or more trips/week,never,2 trips/week,never,never,never,never,never,5.01 - 10km,trotro,Paratransit,safety ans security,Yes,uber/bolt,comfort,social distance,unlikely,likely,unlikely,unlikely,unlikely,unlikely,Female,18 - 24 years,High school certififcate,high school certififcate,Student,101 - 500 cedis,Single,No,No
work,5 or more trips/week,2 trips/week,never,never,never,never,1/week,2/week,5.01 - 10km,trotro,Paratransit,cost,Yes,motor bike,social distance,perception of infection,extremely unlikely,likely,neutral,neutral,neutral,unlikely,Male,25 - 30 years,HND/diploma,HND/diploma,Self Employed,1501 - 2500 cedis,Married,No,Yes
work,5 or more trips/week,2 trips/week,1 trip/week,1 trip/week,4 trip/week,never,2/week,1/week,5.01 - 10km,trotro,Paratransit,cost,Yes,uber/bolt,infection concern,perception of infection,unlikely,likely,neutral,unlikely,unlikely,neutral,Male,25 - 30 years,No formal Education,no certificate and can not read,Self Employed,1001 - 1500 cedis,Married,Yes,No
work,5 or more trips/week,1 trip/week,1 trip/week,1 trip/week,1 trip/week,never,1/week,1/week,5.01 - 10km,uber/bolt,Ride_hailing,safety ans security,Yes,private car,cleaniness,social distance,extremely unlikely,extremely likely,likely,neutral,neutral,unlikely,Male,41 - 50 years,Bachelors degree,first degree,Self Employed,1501 - 2500 cedis,Married,Yes,Yes
study,5 or more trips/week,1 trip/week,3 trips/week,1 trip/week,3 trips/week,2/week,1/week,1/week,10.01 - 15km,walking,Non_motorized_transport,cost,Yes,taxi,social distance,perception of infection,extremely unlikely,likely,unlikely,unlikely,unlikely,neutral,Female,18 - 24 years,High school certififcate,high school certififcate,Student,less 100 cedis,Single,No,No
study,never,5 or more trips/week,never,never,never,1/week,2/week,3/week,5.01 - 10km,walking,Non_motorized_transport,cost,Yes,walking,cost,social distance,extremely unlikely,likely,neutral,neutral,neutral,unlikely,Female,18 - 24 years,No formal Education,no certificate and can not read,Student,501 - 1000 cedis,Single,No,No
study,2 trips/week,5 or more trips/week,1 trip/week,2 trips/week,4 trip/week,never,2/week,never,5.01 - 10km,trotro,Paratransit,comfort,Yes,uber/bolt,infection concern,social distance,unlikely,extremely likely,unlikely,neutral,neutral,likely,Male,18 - 24 years,High school certififcate,high school certififcate,Unemployed,less 100 cedis,Single,No,No
work,5 or more trips/week,2 trips/week,never,1 trip/week,1 trip/week,1/week,2/week,3/week,5.01 - 10km,private car,Private_transport,infection concern,Yes,private car,social distance,perception of infection,extremely unlikely,likely,extremely unlikely,neutral,neutral,unlikely,Female,41 - 50 years,Postgraduate,postgraduate,Formally Employed,1501 - 2500 cedis,Married,Yes,Yes
work,5 or more trips/week,never,never,never,never,never,1/week,1/week,5.01 - 10km,walking,Non_motorized_transport,cost,Yes,walking,cost,perception of infection,extremely unlikely,unlikely,unlikely,unlikely,unlikely,extremely unlikely,Male,18 - 24 years,No formal Education,no certificate and can not read,Unemployed,less 100 cedis,Single,No,No
work,5 or more trips/week,never,never,never,never,never,never,never,5.01 - 10km,walking,Non_motorized_transport,cost,Yes,walking,cost,never reduce my movement,extremely unlikely,likely,neutral,neutral,neutral,unlikely,Male,18 - 24 years,No formal Education,no certificate and can not read,Self Employed,less 100 cedis,Single,No,No
study,never,5 or more trips/week,never,never,never,2/week,2/week,3/week,5.01 - 10km,trotro,Paratransit,safety ans security,Yes,uber/bolt,infection concern,frequent washing of hands,extremely unlikely,likely,unlikely,neutral,neutral,unlikely,Female,under 18,Junior High certififcate,junior high certificate,Student,less 100 cedis,Single,No,No
work,3 trips/week,never,never,never,never,never,1/week,1/week,5.01 - 10km,walking,Non_motorized_transport,cost,Yes,uber/bolt,infection concern,perception of infection,extremely unlikely,extremely likely,extremely likely,neutral,neutral,unlikely,Male,18 - 24 years,Junior High certififcate,junior high certificate,Unemployed,less 100 cedis,Single,No,No
work,5 or more trips/week,never,never,never,never,never,1/week,1/week,5.01 - 10km,walking,Non_motorized_transport,cost,Yes,uber/bolt,social distance,wearing of nose mask,unlikely,neutral,extremely unlikely,neutral,neutral,unlikely,Male,18 - 24 years,HND/diploma,HND/diploma,Student,101 - 500 cedis,Single,No,No
work,5 or more trips/week,never,never,never,never,never,1/week,1/week,5.01 - 10km,walking,Non_motorized_transport,cost,Yes,uber/bolt,social distance,wearing of nose mask,unlikely,unlikely,unlikely,unlikely,unlikely,neutral,Female,25 - 30 years,Junior High certififcate,junior high certificate,Student,101 - 500 cedis,Single,No,No
work,5 or more trips/week,never,never,never,never,never,1/week,1/week,5.01 - 10km,walking,Non_motorized_transport,cost,Yes,walking,cost,perception of infection,extremely unlikely,neutral,neutral,neutral,neutral,neutral,Female,18 - 24 years,No formal Education,no certificate and can not read,Unemployed,less 100 cedis,Single,No,No
work,4 trip/week,1 trip/week,1 trip/week,1 trip/week,1 trip/week,never,2/week,3/week,5.01 - 10km,uber/bolt,Ride_hailing,travel cost time,Yes,uber/bolt,safety ans security,perception of infection,unlikely,likely,neutral,neutral,neutral,unlikely,Female,31 - 40 years,Junior High certififcate,junior high certificate,Unemployed,less 100 cedis,Single,No,No
